City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mahenge,-8.6833,36.7167,62.85,97,44,1.54,TZ,1669854193
1,shaunavon,49.6501,-108.4181,6.58,85,100,19.39,CA,1669854193
2,saint-gaudens,43.0833,0.6667,35.02,75,20,3.74,FR,1669854194
3,osmena,10.5208,119.9258,82.38,79,88,20.38,PH,1669854194
4,ordzhonikidze,52.4411,61.7408,-0.87,84,15,10.71,KZ,1669854195
5,sept-iles,50.2001,-66.3821,31.05,88,100,28.77,CA,1669854195
6,baisha,26.5222,110.9311,29.95,89,100,3.36,CN,1669854195
7,novopokrovka,49.8425,36.5477,29.05,42,100,14.29,UA,1669854195
8,dicabisagan,17.0818,122.4157,79.56,84,98,8.39,PH,1669854196
9,opuwo,-18.0607,13.84,70.77,48,39,5.3,NA,1669854196
10,college,64.8569,-147.8028,7.2,79,100,0.0,US,1669854196
11,severo-kurilsk,50.6789,156.125,30.78,80,70,19.66,RU,1669854196
12,sao filipe,14.8961,-24.4956,75.6,64,75,8.46,CV,1669854197
13,ukiah,39.1502,-123.2078,53.49,67,100,4.61,US,1669854197
14,port shepstone,-30.7414,30.455,68.74,83,83,19.91,ZA,1669854197
15,chitungwiza,-18.0127,31.0756,55.08,75,0,4.54,ZW,1669854198
16,snezhnogorsk,69.1933,33.2531,29.98,94,99,7.29,RU,1669854198
17,eureka,40.8021,-124.1637,52.41,85,100,7.0,US,1669854198
18,urengoy,65.9667,78.3667,-8.9,100,92,6.35,RU,1669854002
19,jacqueville,5.2052,-4.4146,80.19,80,88,8.43,CI,1669854199
20,seymchan,62.8833,152.4333,-20.43,96,100,4.94,RU,1669854199
21,saint-joseph,-21.3667,55.6167,71.98,78,38,6.64,RE,1669854199
22,tessalit,20.1986,1.0114,69.19,20,34,6.78,ML,1669854199
23,constitucion,-35.3333,-72.4167,55.17,79,0,13.62,CL,1669854200
24,varhaug,58.6147,5.6457,41.49,73,12,12.26,NO,1669854200
25,vostok,46.4856,135.8833,-6.65,93,100,12.39,RU,1669854200
26,boa vista,2.8197,-60.6733,80.58,69,0,8.05,BR,1669854200
27,marystown,47.1666,-55.1483,29.32,63,7,5.28,CA,1669854201
28,taoudenni,22.6783,-3.9836,64.08,22,0,9.48,ML,1669854201
29,challakere,14.3167,76.65,66.11,78,7,4.52,IN,1669854201
30,dubki,43.0225,46.8372,31.1,87,83,7.09,RU,1669854201
31,erdenet,49.0333,104.0833,-14.85,90,5,4.0,MN,1669854202
32,atar,20.5169,-13.0499,70.34,17,29,7.76,MR,1669854202
33,salinopolis,-0.6136,-47.3561,78.75,79,93,6.71,BR,1669854202
34,laguna de perlas,12.3429,-83.6712,77.07,88,99,9.17,NI,1669854203
35,edson,53.5835,-116.4356,-5.66,77,100,6.91,CA,1669854203
36,abay,49.6311,72.8539,10.78,94,100,10.0,KZ,1669854203
37,ramhormoz,31.28,49.6035,70.18,48,32,4.99,IR,1669854203
38,hualmay,-11.0964,-77.6139,67.41,84,60,7.4,PE,1669854204
39,baykit,61.67,96.37,-0.06,97,100,3.58,RU,1669854204
40,wajir,1.7471,40.0573,76.26,73,78,9.86,KE,1669854204
41,cleburne,32.3476,-97.3867,46.35,48,0,8.05,US,1669854205
42,flint,43.0125,-83.6875,30.49,74,100,21.85,US,1669854205
43,kavaratti,10.5669,72.642,81.46,71,27,2.39,IN,1669854205
44,bubaque,11.2833,-15.8333,81.77,66,51,13.96,GW,1669854205
45,nurota,40.5614,65.6886,30.29,71,92,2.57,UZ,1669854206
46,mersing,2.4312,103.8405,76.91,94,40,3.44,MY,1669854206
47,booue,-0.0921,11.9385,71.08,98,97,1.1,GA,1669854206
48,abu samrah,35.3029,37.1841,53.83,91,81,3.47,SY,1669854206
49,mumbwa,-14.9783,27.0619,63.72,88,33,4.81,ZM,1669854207
50,talnakh,69.4865,88.3972,-2.78,99,99,5.39,RU,1669854207
51,shenxian,36.2411,115.6672,23.27,21,0,3.56,CN,1669854207
52,santa isabel do rio negro,-0.4139,-65.0192,75.2,94,98,2.44,BR,1669854207
53,alcantara,-2.4089,-44.4147,82.6,85,24,7.2,BR,1669854208
54,gubbio,43.3545,12.5725,42.96,80,96,5.5,IT,1669854208
55,suba,10.8438,121.0102,82.09,82,97,24.94,PH,1669854208
56,ancud,-41.8697,-73.8203,48.22,67,16,2.71,CL,1669854208
57,vrangel,42.7297,133.0839,17.17,53,90,22.01,RU,1669854209
58,mayo,38.8876,-76.5119,51.98,41,0,24.16,US,1669854209
59,kupang,-10.1667,123.5833,84.78,79,40,2.3,ID,1669854209
60,pithoragarh,29.5833,80.2167,40.55,58,0,3.36,IN,1669854210
61,komsomolskiy,40.4272,71.7189,50.72,62,40,20.71,UZ,1669854210
62,ostersund,63.1792,14.6357,30.65,100,100,2.3,SE,1669854083
63,victoria,22.2855,114.1577,61.32,75,100,11.99,HK,1669854210
64,gasa,31.5,34.4667,63.59,66,0,5.88,PS,1669854210
65,bilibino,68.0546,166.4372,9.81,93,100,5.99,RU,1669854211
66,gander,48.9682,-54.5906,17.73,93,20,6.91,CA,1669854211
67,harnosand,62.6323,17.9379,34.0,87,89,3.38,SE,1669854026
68,phetchabun,16.25,101.0833,75.47,87,88,4.81,TH,1669854211
69,yazykovo,55.2199,56.1353,-5.51,100,88,2.8,RU,1669854212
70,el alto,-4.2714,-81.2147,67.66,82,47,13.51,PE,1669854212
71,farah,32.5,62.5,49.82,44,100,2.26,AF,1669854212
72,brae,60.3964,-1.353,48.33,81,99,23.78,GB,1669854212
73,havoysund,70.9963,24.6622,35.83,83,56,6.91,NO,1669854213
74,prince rupert,54.3161,-130.3201,24.49,40,0,26.46,CA,1669854213
75,guayaquil,-2.1667,-79.9,78.94,69,75,12.66,EC,1669854081
76,waipawa,-41.4122,175.5153,55.33,66,94,11.77,NZ,1669854213
77,hasanabad,36.5465,61.0543,48.88,60,100,8.86,IR,1669854214
78,inuvik,68.3499,-133.7218,2.16,85,100,5.75,CA,1669854214
79,gobabis,-22.45,18.9667,72.82,35,17,3.22,NA,1669854214
80,tura,25.5198,90.2201,60.22,88,1,3.67,IN,1669854214
81,dandong,40.1292,124.3947,17.74,31,12,8.16,CN,1669854215
82,kalevala,65.2,31.1667,25.12,97,100,4.16,RU,1669854215
83,soubre,5.7856,-6.6083,72.82,98,96,2.64,CI,1669854215
84,yalutorovsk,56.6536,66.3006,4.05,84,100,6.49,RU,1669854215
85,berlevag,70.8578,29.0864,32.0,86,40,9.22,NO,1669854216
86,muli,2.9167,73.5667,80.73,68,36,3.53,MV,1669854216
87,belmonte,-15.8631,-38.8828,76.59,90,100,8.25,BR,1669854216
88,pasighat,28.0667,95.3333,61.65,54,48,3.76,IN,1669854216
89,utmanzai,34.188,71.7629,50.61,31,29,1.41,PK,1669854217
90,pahrump,36.2083,-115.9839,58.24,30,31,5.01,US,1669854217
91,lagoa,39.05,-27.9833,61.72,74,1,6.78,PT,1669854217
92,george town,5.4112,100.3354,80.24,91,20,4.61,MY,1669854035
93,iskar,43.45,24.2667,38.77,73,100,10.98,BG,1669854218
94,haines junction,60.7522,-137.5108,-0.42,86,99,0.92,CA,1669854218
95,vila velha,-20.3297,-40.2925,76.95,94,100,9.22,BR,1669854219
96,kangaatsiaq,68.3065,-53.4641,17.92,79,100,29.68,GL,1669854219
97,plouzane,48.3833,-4.6167,41.05,93,3,6.91,FR,1669854219
98,turayf,31.6725,38.6637,50.25,93,0,3.44,SA,1669854219
99,north bend,43.4065,-124.2243,47.91,92,40,9.22,US,1669854220
100,bol,13.4586,14.7147,73.11,35,11,12.75,TD,1669854220
101,the valley,18.217,-63.0578,80.1,83,20,5.75,AI,1669854220
102,saldanha,-33.0117,17.9442,62.65,90,52,8.08,ZA,1669854221
103,manggar,-2.8833,108.2667,78.76,83,100,5.44,ID,1669854221
104,norman wells,65.282,-126.8329,-9.36,77,100,2.3,CA,1669854190
105,kamenka,51.3223,42.7678,21.29,56,1,6.22,RU,1669854221
106,santiago,-33.4569,-70.6483,69.55,55,20,9.22,CL,1669854163
107,livny,52.4253,37.6069,22.28,71,100,8.99,RU,1669854222
108,lata,40.1629,-8.3327,51.08,93,100,4.45,PT,1669854222
109,sobolevo,54.4299,31.8996,18.37,88,100,7.38,RU,1669854222
110,carutapera,-1.195,-46.02,77.88,83,76,4.68,BR,1669854223
111,high level,58.5169,-117.136,-18.29,83,20,3.44,CA,1669854095
112,shankargarh,25.1833,81.6167,57.99,64,1,3.67,IN,1669854223
113,atchison,39.563,-95.1216,29.98,51,0,3.27,US,1669854224
114,rawlins,41.7911,-107.2387,29.35,46,0,25.32,US,1669854224
115,tigil,57.8,158.6667,24.49,92,100,6.64,RU,1669854224
116,sayyan,15.1718,44.3244,47.39,40,0,3.78,YE,1669854224
117,kadaya,50.9327,119.2911,-41.98,100,54,2.8,RU,1669854225
118,aracoiaba,-4.3711,-38.8142,76.19,80,72,5.28,BR,1669854225
119,yumen,40.2833,97.2,6.98,77,81,1.59,CN,1669854225
120,torit,4.4133,32.5678,74.62,59,95,3.2,SS,1669854225
121,muskogee,35.5834,-95.3336,39.27,45,0,4.61,US,1669854226
122,kamen-na-obi,53.7884,81.3423,-7.6,89,15,5.59,RU,1669854226
123,caapora,-7.5156,-34.9083,80.96,73,100,5.97,BR,1669854226
124,omsukchan,62.5333,155.8,2.77,97,100,4.63,RU,1669854227
125,kwakoa,-3.7667,37.7167,68.04,95,93,4.0,TZ,1669854227
126,kropotkin,45.4375,40.5756,35.74,74,13,22.41,RU,1669854228
127,ghizela,45.8242,21.7372,40.82,85,69,3.98,RO,1669854228
128,vila,42.0304,-8.1588,41.88,93,93,4.38,PT,1669854228
129,flinders,-34.5833,150.8552,71.19,64,96,4.0,AU,1669854228
130,te anau,-45.4167,167.7167,58.26,61,88,4.61,NZ,1669854229
131,ambatofinandrahana,-20.55,46.8,61.14,84,59,1.23,MG,1669854229
132,la ronge,55.1001,-105.2842,-10.95,64,75,9.22,CA,1669854230
133,kalmunai,7.4167,81.8167,76.46,86,96,0.63,LK,1669854230
134,cabedelo,-6.9811,-34.8339,81.27,73,99,10.56,BR,1669854230
135,paamiut,61.994,-49.6678,25.36,85,100,44.63,GL,1669854231
136,chingirlau,51.095,54.0814,16.09,78,5,6.2,KZ,1669854231
137,velka nad velickou,48.8826,17.5206,37.85,93,99,4.14,CZ,1669854231
138,emerald,-23.5333,148.1667,69.35,74,85,15.39,AU,1669854232
139,koson,39.0375,65.585,41.32,72,100,7.87,UZ,1669854232
140,port augusta,-32.5,137.7667,76.12,32,17,6.96,AU,1669854232
141,tuatapere,-46.1333,167.6833,53.58,74,93,9.55,NZ,1669854232
142,praia da vitoria,38.7333,-27.0667,59.76,88,75,5.55,PT,1669854233
143,natal,-5.795,-35.2094,81.25,73,20,9.22,BR,1669854030
144,burnie,-41.0667,145.9167,62.94,44,0,2.73,AU,1669854233
145,harper,4.375,-7.7169,77.95,84,88,4.97,LR,1669854233
146,korla,41.7597,86.1469,14.05,21,51,4.74,CN,1669854234
147,tete,-16.1564,33.5867,69.89,94,40,0.0,MZ,1669854234
148,ambositra,-20.5167,47.25,60.53,91,84,1.21,MG,1669854234
149,alice springs,-23.7,133.8833,78.35,21,0,12.66,AU,1669854234
150,pedernales,18.0384,-71.744,78.53,77,16,3.96,DO,1669854235
151,novo aripuana,-5.1206,-60.3797,73.62,97,100,0.58,BR,1669854235
152,sawtell,-30.3833,153.1,63.19,88,75,10.36,AU,1669854235
153,tazovskiy,67.4667,78.7,-5.71,100,99,7.65,RU,1669854235
154,yaan,7.3833,8.5667,75.31,28,97,1.66,NG,1669854236
155,velikodvorskiy,55.25,40.6678,11.48,98,70,2.08,RU,1669854236
156,leibnitz,46.7816,15.5384,38.95,89,100,3.06,AT,1669854236
157,fort nelson,58.8053,-122.7002,-20.61,76,0,3.44,CA,1669854085
158,saint-leu,-21.15,55.2833,72.46,77,48,1.97,RE,1669854237
159,szentes,46.65,20.2667,33.17,82,78,5.21,HU,1669854237
160,ermoupolis,37.4423,24.9425,63.3,82,97,18.41,GR,1669854237
161,mandera,3.9366,41.867,78.67,62,73,14.34,KE,1669854237
162,khuzhir,53.1939,107.3397,7.07,77,100,14.67,RU,1669854238
163,paraiba do sul,-22.1619,-43.2928,70.59,98,80,5.84,BR,1669854238
164,hay river,60.8156,-115.7999,-16.62,76,20,9.22,CA,1669854238
165,suffolk,40.8668,-72.7996,57.22,88,100,19.57,US,1669854239
166,raudeberg,61.9875,5.1352,41.67,73,10,9.33,NO,1669854239
167,vanimo,-2.6741,141.3028,81.32,84,100,3.6,PG,1669854239
168,paciran,-6.8767,112.3761,78.55,80,93,11.36,ID,1669854239
169,teluk nibung,3.001,99.8164,74.97,94,99,4.65,ID,1669854240
170,ayan,56.45,138.1667,-5.73,85,99,24.99,RU,1669854240
171,mishan,45.55,131.8833,1.36,71,97,14.72,CN,1669854240
172,vestmanna,62.1564,-7.1664,47.32,100,100,23.02,FO,1669854241
173,bima,-8.4667,118.7167,80.73,80,100,4.94,ID,1669854241
174,saurimo,-9.6608,20.3916,62.2,97,99,1.41,AO,1669854241
175,uray,60.1247,64.7758,4.33,97,100,3.27,RU,1669854242
176,krasnoselkup,65.7,82.4667,-1.59,97,100,10.63,RU,1669854242
177,ambovombe,-25.1667,46.0833,70.11,90,100,11.97,MG,1669854242
178,garden city,42.3256,-83.331,31.95,65,100,28.77,US,1669854242
179,bilma,18.6853,12.9164,64.65,32,9,7.31,NE,1669854243
180,jacksonville beach,30.2947,-81.3931,65.05,95,75,10.36,US,1669854243
181,benguela,-12.5763,13.4055,76.66,81,100,5.79,AO,1669854243
182,pleasanton,37.6624,-121.8747,58.86,54,0,9.22,US,1669854244
183,westport,41.1415,-73.3579,56.07,76,100,14.97,US,1669854244
184,lianzhou,24.7811,112.3825,36.82,88,100,6.6,CN,1669854244
185,karera,25.4667,78.15,55.9,47,0,2.73,IN,1669854231
186,deputatskiy,69.3,139.9,-14.12,99,100,3.6,RU,1669854245
187,sao miguel,-5.4667,-35.3667,81.37,69,100,11.39,BR,1669854245
188,valparaiso,-33.0393,-71.6273,60.44,77,20,4.61,CL,1669854002
189,davila,18.4726,120.5763,84.18,82,55,20.04,PH,1669854245
190,buta,2.7858,24.73,69.13,100,99,0.98,CD,1669854246
191,manaure,11.7751,-72.4445,78.57,83,13,16.42,CO,1669854246
192,mitsamiouli,-11.3847,43.2844,77.74,76,1,4.61,KM,1669854246
193,neiafu,-18.65,-173.9833,84.88,79,40,9.22,TO,1669854247
194,xuddur,4.1213,43.8894,70.77,79,54,13.02,SO,1669854247
195,touros,-5.1989,-35.4608,78.91,69,100,11.54,BR,1669854247
196,suntar,62.1444,117.6319,-16.17,95,100,6.4,RU,1669854247
197,rampur,28.8167,79.0333,58.77,63,0,5.91,IN,1669854248
198,chicama,-7.8447,-79.1469,66.74,77,87,6.17,PE,1669854248
199,abu zabad,12.35,29.25,76.32,20,34,9.82,SD,1669854248
200,santa cruz,-17.8,-63.1667,74.66,83,75,9.22,BO,1669854088
201,dakar,14.6937,-17.4441,76.08,71,24,18.03,SN,1669854249
202,sakaiminato,35.55,133.2333,46.33,81,75,9.22,JP,1669854249
203,arman,59.7,150.1667,23.02,89,100,6.29,RU,1669854249
204,san carlos de bariloche,-41.1456,-71.3082,55.15,44,0,14.97,AR,1669854173
205,yulara,-25.2406,130.9889,81.16,16,1,11.86,AU,1669854250
206,hobbs,32.7026,-103.136,39.29,45,0,9.22,US,1669854250
207,bahia honda,22.9036,-83.1592,77.05,88,14,9.46,CU,1669854250
208,awbari,26.5921,12.7805,49.91,37,0,0.85,LY,1669854250
209,altay,47.8667,88.1167,0.54,48,87,7.96,CN,1669854251
210,hope,33.6671,-93.5916,44.65,54,1,3.89,US,1669854251
211,kobryn,52.2138,24.3564,27.64,95,100,8.46,BY,1669854251
212,gibara,21.1097,-76.1317,76.32,72,2,12.59,CU,1669854251
213,antofagasta,-23.65,-70.4,63.68,85,9,5.61,CL,1669854009
214,belaya gora,68.5333,146.4167,-15.16,99,100,2.68,RU,1669854252
